period_end,fy,fp,form,filed,total_revenue,cost_of_revenue,gross_profit,operating_income,net_income,total_assets,total_current_assets,cash_and_equivalents,inventory,total_liabilities,total_current_liabilities,total_equity,retained_earnings,operating_cash_flow,capital_expenditures,shares_outstanding,selling_general_admin,frequency,period_start
2022-07-30,2025,FY,10-K,2025-09-25,2017804000.0,1131132000.0,886672000.0,-184470000.0,-207121000.0,764535000.0,477252000.0,130935000.0,197251000.0,441884000.0,295570000.0,322651000.0,-166440000.0,75217000.0,44957000.0,,1071142000.0,annual,2021-07-31
2022-10-29,2024,Q2,10-Q,2024-03-05,443741000.0,256431000.0,187310000.0,-48536000.0,-55918000.0,744686000.0,466566000.0,113346000.0,220163000.0,449919000.0,297375000.0,294767000.0,-222358000.0,-10048000.0,5888000.0,,235846000.0,quarterly,2022-04-30
2023-01-28,2024,Q3,10-Q,2024-06-05,400622000.0,236866000.0,163756000.0,-63282000.0,-65571000.0,660598000.0,414426000.0,138979000.0,158927000.0,405321000.0,260949000.0,255277000.0,-287929000.0,11060000.0,11398000.0,,227038000.0,quarterly,2022-10-29
2023-04-29,2024,Q3,10-Q,2024-06-05,383419000.0,219744000.0,163675000.0,-20520000.0,-21825000.0,659970000.0,455744000.0,193575000.0,151612000.0,406189000.0,270093000.0,253781000.0,-309754000.0,36742000.0,14864000.0,,184195000.0,quarterly,2023-01-28
2023-07-29,2025,FY,10-K,2025-09-25,1592521000.0,916908000.0,675613000.0,-155281000.0,-171973000.0,614478000.0,425461000.0,239437000.0,130548000.0,367168000.0,238111000.0,247310000.0,-338413000.0,73230000.0,18863000.0,,830894000.0,annual,2022-07-30
2023-10-28,2025,Q2,10-Q,2025-03-12,364785000.0,205682000.0,159103000.0,-28661000.0,-35490000.0,624038000.0,450285000.0,256898000.0,160720000.0,393298000.0,270893000.0,230740000.0,-373903000.0,,3653000.0,,187764000.0,quarterly,2023-04-29
2024-01-27,2025,Q3,10-Q,2025-06-11,330402000.0,186922000.0,143480000.0,-38038000.0,-35524000.0,538316000.0,377971000.0,227503000.0,126033000.0,325045000.0,209421000.0,213271000.0,-409427000.0,,7427000.0,,181518000.0,quarterly,2023-10-28
2024-04-27,2025,Q3,10-Q,2025-06-11,322731000.0,175753000.0,146978000.0,-24840000.0,-21328000.0,536964000.0,385282000.0,196507000.0,114467000.0,328075000.0,219849000.0,208889000.0,-430755000.0,,10259000.0,,171818000.0,quarterly,2024-01-27
2024-08-03,2025,FY,10-K,2025-09-25,1337468000.0,745430000.0,592038000.0,-133427000.0,-128840000.0,486864000.0,366710000.0,162862000.0,97903000.0,299842000.0,203551000.0,187022000.0,-467253000.0,28207000.0,13965000.0,,725465000.0,annual,2023-07-29
2024-11-02,2025,Q2,10-Q,2025-03-12,318818000.0,174013000.0,144805000.0,-8966000.0,-6256000.0,507119000.0,392516000.0,137153000.0,119145000.0,316624000.0,226553000.0,190495000.0,-473509000.0,,4323000.0,,153771000.0,quarterly,2024-04-27
2025-02-01,2025,Q3,10-Q,2025-06-11,312110000.0,173249000.0,138861000.0,-9025000.0,-6529000.0,472638000.0,352904000.0,113205000.0,109591000.0,274881000.0,191154000.0,197757000.0,-480038000.0,,7547000.0,,147886000.0,quarterly,2024-11-02
2025-05-03,2025,Q3,10-Q,2025-06-11,325016000.0,181458000.0,143558000.0,-9708000.0,-7378000.0,484748000.0,373276000.0,108915000.0,114410000.0,284357000.0,206820000.0,200391000.0,-487416000.0,,12065000.0,,153266000.0,quarterly,2025-02-01
2025-08-02,2025,FY,10-K,2025-09-25,1267171000.0,704232000.0,562939000.0,-38905000.0,-28739000.0,480622000.0,373872000.0,113952000.0,118370000.0,277644000.0,206227000.0,202978000.0,-495992000.0,,16293000.0,,601844000.0,annual,2024-08-03
